OrderID,OrderDate,Product,Category,Region,Quantity,UnitPrice,TotalSales,Month
100001,2025-11-03,Mobile,Electronics,South,8,20000,160000,45962
100002,2025-08-12,Bed,Furniture,East,2,35000,70000,45870
100003,2025-02-03,Printer,Electronics,South,1,18000,18000,45689
100004,2025-07-19,Monitor,Electronics,East,2,22000,44000,45839
100005,2023-11-05,Tablet,Electronics,South,2,30000,60000,45231
100006,2025-10-07,Bed,Furniture,East,4,35000,140000,45931
100007,2024-10-08,Monitor,Electronics,West,2,22000,44000,45566
100008,2023-05-05,Headphones,Electronics,South,2,1500,3000,45047
100009,2025-01-21,Bed,Furniture,West,5,35000,175000,45658
100010,2024-03-30,Sofa,Furniture,North,4,40000,160000,45352
100011,2024-09-11,Tablet,Electronics,North,5,30000,150000,45536
100012,2023-11-14,Laptop,Electronics,West,1,55000,55000,45231
100013,2025-07-19,Tablet,Electronics,South,6,30000,180000,45839
100014,2025-03-31,Monitor,Electronics,East,3,22000,66000,45717
100015,2024-09-01,Tablet,Electronics,West,1,30000,30000,45536
100016,2025-03-30,Headphones,Electronics,East,6,1500,9000,45717
100017,2025-03-04,Printer,Electronics,South,6,18000,108000,45717
100018,2024-10-06,Printer,Electronics,South,1,18000,18000,45566
100019,2025-04-28,Office Chair,Furniture,North,5,8000,40000,45748
100020,2024-07-06,Bed,Furniture,East,7,35000,245000,45474
100021,2024-11-26,Tablet,Electronics,South,3,30000,90000,45597
100022,2024-08-23,Sofa,Furniture,South,1,40000,40000,45505
100023,2023-07-26,Office Chair,Furniture,North,4,8000,32000,45108
100024,2025-01-21,Table,Furniture,North,5,12000,60000,45658
100025,2024-04-29,Tablet,Electronics,North,1,30000,30000,45383
100026,2025-07-03,Office Chair,Furniture,South,2,8000,16000,45839
100027,2024-09-18,Office Chair,Furniture,East,7,8000,56000,45536
100028,2025-03-29,Monitor,Electronics,East,3,22000,66000,45717
100029,2024-04-18,Mobile,Electronics,East,6,20000,120000,45383
100030,2023-11-09,Sofa,Furniture,North,5,40000,200000,45231
100031,2024-11-01,Headphones,Electronics,East,5,1500,7500,45597
100032,2023-05-09,Monitor,Electronics,West,5,22000,110000,45047
100033,2024-07-25,Bed,Furniture,West,6,35000,210000,45474
100034,2024-03-20,Office Chair,Furniture,East,1,8000,8000,45352
100035,2023-09-15,Monitor,Electronics,South,5,22000,110000,45170
100036,2024-09-10,Headphones,Electronics,South,6,1500,9000,45536
100037,2023-03-06,Office Chair,Furniture,North,6,8000,48000,44986
100038,2025-07-21,Mobile,Electronics,West,1,20000,20000,45839
100039,2025-08-27,Printer,Electronics,West,7,18000,126000,45870
100040,2023-12-17,Tablet,Electronics,East,7,30000,210000,45261
100041,2024-11-28,Sofa,Furniture,North,3,40000,120000,45597
100042,2025-08-03,Tablet,Electronics,West,4,30000,120000,45870
